Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
0,0,0.0000,-0.8186,-1.1569,0.0000,0.0000,0.0000
0,1,0.0277,-0.8186,-1.1569,0.0000,0.0000,0.0000
0,2,0.0406,-0.8186,-1.1418,0.0000,0.5858,0.5858
0,3,0.0738,-0.8186,-1.1266,0.0000,0.5423,0.5423
0,4,0.0904,-0.8186,-1.1115,0.0000,0.8450,0.8450
0,5,0.1071,-0.8186,-1.0359,0.0000,2.3558,2.3558
0,6,0.1237,-0.6069,-0.6882,4.2518,8.9503,9.9089
0,7,0.1402,-0.3952,-0.4009,8.5334,14.6093,16.9189
0,8,0.1573,-0.1230,-0.0985,13.8394,20.2022,24.4879
0,9,0.1736,0.1945,0.2190,20.3101,25.1620,32.3361
0,10,0.1907,0.5422,0.4610,22.8579,22.9072,32.3608
0,11,0.2072,0.8598,0.6726,24.9852,21.3690,32.8769
0,12,0.2246,1.1773,0.8843,25.7608,19.5278,32.3258
0,13,0.2400,1.3738,1.0053,23.5396,15.6722,28.2795
0,14,0.2567,1.4948,1.0355,19.1578,11.5465,22.3683
0,15,0.2733,1.5704,1.0809,14.2624,8.1820,16.4426
0,16,0.2901,1.6460,1.0960,9.6838,4.4282,10.6482
0,17,0.3238,1.6611,1.0960,5.5841,1.8131,5.8711
0,18,0.3403,1.6611,1.0506,3.1662,0.2954,3.1800
0,19,0.3570,1.6762,0.9902,1.9557,-1.8241,2.6743
0,20,0.3728,1.6762,0.8390,0.4526,-5.3186,5.3378
0,21,0.3900,1.7065,0.6726,0.8882,-8.5380,8.5841
0,22,0.4058,1.7065,0.5063,0.8882,-11.1333,11.1687
0,23,0.4229,1.7216,0.3551,0.8800,-12.8684,12.8985
0,24,0.4401,1.7367,0.2342,1.1725,-12.0143,12.0714
0,25,0.4558,1.7670,0.0527,1.2279,-12.6398,12.6993
0,26,0.4725,1.8274,-0.2346,2.4361,-14.8701,15.0683
0,27,0.4891,1.8577,-0.3404,2.7488,-14.0491,14.3154
0,28,0.5059,1.9635,-0.5370,4.5559,-15.6086,16.2599
0,29,0.5225,2.1147,-0.6882,6.9489,-14.7975,16.3478
0,30,0.5392,2.1752,-0.7033,6.9493,-9.3608,11.6584
0,31,0.5568,2.2206,-0.7033,7.2012,-7.2352,10.2081
0,32,0.5720,2.2810,-0.7033,6.4301,-3.3359,7.2440
0,33,0.5894,2.3718,-0.7033,5.1376,-0.3021,5.1465
0,34,0.6054,2.4927,-0.7033,6.4425,0.0000,6.4425
0,35,0.6226,2.6590,-0.7033,8.8147,0.0000,8.8147
0,36,0.6457,2.9010,-0.7033,10.9665,0.0000,10.9665
0,37,0.6641,3.0824,-0.7184,12.5094,-0.2737,12.5124
0,38,0.6814,3.1731,-0.7335,11.7458,-0.5653,11.7594
0,39,0.6977,3.1731,-0.7486,8.5144,-0.8748,8.5592
0,40,0.7144,3.2034,-0.7638,5.6398,-1.1777,5.7615
0,41,0.7313,3.2185,-0.7940,2.6528,-1.4982,3.0466
0,42,0.7477,3.2487,-0.8847,1.5179,-3.0516,3.4083
0,43,0.7643,3.2941,-1.0057,2.4310,-5.1769,5.7193
0,44,0.7818,3.2941,-1.1115,1.8251,-6.8916,7.1292
0,45,0.8120,3.2941,-1.2022,1.5281,-7.2960,7.4543
0,46,0.8280,3.2790,-1.2325,0.5967,-6.0836,6.1128
0,47,0.8452,3.2034,-1.2627,-1.7783,-4.2336,4.5919
0,48,0.8612,3.1429,-1.2930,-3.0405,-2.8471,4.1654
0,49,0.8829,3.0824,-1.2930,-3.9699,-1.8485,4.3791
0,50,0.8982,2.9614,-1.3383,-6.2774,-2.1998,6.6517
0,51,0.9148,2.8102,-1.3686,-7.8518,-2.2223,8.1602
0,52,0.9314,2.6893,-1.4139,-9.0243,-2.5042,9.3653
