Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
11,0,0.0000,-4.8845,-2.8548,0.0000,0.0000,0.0000
11,1,0.0133,-4.8845,-2.8548,0.0000,0.0000,0.0000
11,2,0.1154,-4.8735,-2.8218,0.0539,0.1616,0.1703
11,3,0.1318,-4.8515,-2.7888,0.4827,0.7779,0.9155
11,4,0.1490,-4.7965,-2.6788,1.5525,2.9174,3.3048
11,5,0.1653,-4.6865,-2.5028,3.8011,6.5153,7.5430
11,6,0.1821,-4.5985,-2.3157,5.5126,10.1208,11.5247
11,7,0.1993,-4.4774,-2.1397,7.4115,12.8624,14.8449
11,8,0.2152,-4.3674,-1.9637,8.6376,14.3963,16.7888
11,9,0.2315,-4.2794,-1.7767,8.1946,14.6356,16.7735
11,10,0.2484,-4.1804,-1.5677,8.3975,15.0397,17.2253
11,11,0.2654,-4.0154,-1.1826,9.2973,19.2004,21.3330
11,12,0.2822,-3.9274,-0.9846,8.7488,19.4587,21.3350
11,13,0.2982,-3.8504,-0.7866,8.5392,19.7258,21.4948
11,14,0.3146,-3.7624,-0.6216,8.3857,18.9775,20.7476
11,15,0.3311,-3.6744,-0.4565,6.9155,14.7334,16.2757
11,16,0.3482,-3.5754,-0.3135,7.1002,13.5925,15.3352
11,17,0.3645,-3.4873,-0.1815,7.2996,12.1816,14.2013
11,18,0.3814,-3.3993,-0.0605,7.2353,11.1947,13.3293
11,19,0.3977,-3.3113,0.0495,7.2665,10.1243,12.4621
11,20,0.4224,-3.2343,0.1375,6.3733,8.5207,10.6405
11,21,0.4316,-3.0693,0.3245,10.5758,12.6252,16.4695
11,22,0.4489,-3.0253,0.3685,9.6888,11.0886,14.7251
11,23,0.4658,-2.9373,0.4345,9.6210,10.1345,13.9739
11,24,0.4818,-2.8493,0.5116,10.4085,10.5453,14.8169
11,25,0.4987,-2.7723,0.5446,5.9315,4.3993,7.3849
11,26,0.5159,-2.7063,0.5996,6.3660,4.6206,7.8661
11,27,0.5316,-2.6403,0.6326,6.0327,4.0192,7.2490
11,28,0.5484,-2.5743,0.6656,5.5146,3.0753,6.3142
11,29,0.5647,-2.5193,0.6986,5.1163,3.0971,5.9807
11,30,0.5821,-2.4422,0.7426,5.3126,2.8740,6.0402
11,31,0.5980,-2.3872,0.7536,5.0604,2.4020,5.6015
11,32,0.6156,-2.3432,0.7646,4.5840,1.9558,4.9838
11,33,0.6310,-2.2772,0.7756,4.8957,1.5212,5.1266
11,34,0.6481,-2.2332,0.7976,4.2759,1.1059,4.4166
11,35,0.6647,-2.1782,0.7976,4.2256,0.8753,4.3153
11,36,0.6812,-2.1232,0.7976,4.5047,0.6674,4.5539
11,37,0.6976,-2.0682,0.7976,4.1933,0.4283,4.2151
11,38,0.7144,-2.0022,0.7976,4.6410,0.0000,4.6410
11,39,0.7312,-1.8922,0.7756,5.7199,-0.4364,5.7365
11,40,0.7484,-1.7822,0.7536,6.7458,-0.8637,6.8008
11,41,0.7644,-1.6942,0.7206,7.4617,-1.5533,7.6217
11,42,0.7813,-1.5952,0.6656,8.1077,-2.6368,8.5257
11,43,0.7975,-1.4962,0.6106,7.9587,-3.3298,8.6272
11,44,0.8145,-1.3641,0.5666,8.4062,-3.7638,9.2103
11,45,0.8302,-1.2761,0.5006,8.4375,-4.4769,9.5516
11,46,0.8475,-1.2431,0.4895,7.1243,-3.6058,7.9848
11,47,0.8636,-1.1111,0.4015,7.8192,-4.2949,8.9211
11,48,0.8805,-1.0231,0.3135,6.9750,-5.1734,8.6842
11,49,0.8967,-0.9241,0.2695,7.1371,-4.6740,8.5314
11,50,0.9133,-0.8691,0.2145,7.6082,-5.5699,9.4291
11,51,0.9303,-0.8141,0.1595,5.9545,-4.8255,7.6643
11,52,0.9468,-0.7481,0.0825,5.5504,-4.6439,7.2369
11,53,0.9638,-0.6601,-0.0055,5.2435,-5.4661,7.5745
11,54,0.9809,-0.5721,-0.1155,5.8538,-6.5060,8.7519
11,55,0.9970,-0.4510,-0.2145,7.2872,-7.4836,10.4454
11,56,1.0129,-0.3410,-0.3355,8.2529,-8.4567,11.8163
11,57,1.0302,-0.2200,-0.4565,8.8570,-9.0609,12.6707
11,58,1.0462,-0.0880,-0.5996,9.8884,-9.8917,13.9866
11,59,1.0629,-0.0110,-0.7206,8.9193,-10.2576,13.5931
11,60,1.0803,0.0770,-0.8856,8.3081,-10.8952,13.7014
11,61,1.0961,0.1430,-0.9956,7.3676,-10.8808,13.1405
11,62,1.1130,0.2420,-1.1496,6.5698,-10.9384,12.7598
11,63,1.1292,0.3080,-1.2596,6.3946,-10.7929,12.5451
11,64,1.1462,0.3740,-1.3696,5.9916,-9.7691,11.4601
11,65,1.1624,0.4070,-1.4466,5.2820,-9.0394,10.4695
11,66,1.1789,0.4290,-1.5347,3.7744,-7.7809,8.6481
11,67,1.1962,0.4730,-1.6447,3.2585,-7.6272,8.2941
11,68,1.2121,0.5281,-1.8207,3.1279,-9.1828,9.7009
11,69,1.2289,0.6271,-2.0627,4.4111,-12.3950,13.1565
11,70,1.2457,0.7261,-2.2607,5.9368,-14.5575,15.7215
11,71,1.2623,0.8251,-2.4257,7.0761,-15.7502,17.2667
11,72,1.2786,0.8691,-2.5248,6.8178,-14.0703,15.6351
11,73,1.2955,0.9021,-2.5908,5.5053,-10.5730,11.9205
11,74,1.3124,0.9241,-2.6018,3.9684,-6.8491,7.9158
11,75,1.3294,0.9351,-2.6018,2.1981,-3.5381,4.1653
11,76,1.3617,0.9351,-2.5908,1.2999,-1.4035,1.9130
11,77,1.3786,0.9351,-2.5358,0.6496,0.9788,1.1747
11,78,1.3947,0.9241,-2.4917,-0.0126,2.1105,2.1106
11,79,1.4120,0.9241,-2.4477,-0.2288,2.9579,2.9667
11,80,1.4293,0.9241,-2.3817,-0.2288,4.1110,4.1174
11,81,1.4447,0.9681,-2.2937,0.7263,4.9394,4.9925
11,82,1.4622,0.9791,-2.2497,1.1648,4.8631,5.0007
11,83,1.4781,1.0671,-2.0957,3.0108,7.2462,7.8468
11,84,1.4950,1.1111,-2.0187,3.8745,7.4909,8.4336
11,85,1.5117,1.1661,-1.9417,4.0177,7.1185,8.1740
11,86,1.5283,1.2431,-1.8757,5.3567,7.6071,9.3039
11,87,1.5447,1.2981,-1.8207,4.6291,5.4949,7.1849
11,88,1.5615,1.3421,-1.7877,4.6411,4.6402,6.5629
11,89,1.5783,1.3751,-1.7657,4.1946,3.5371,5.4868
11,90,1.5942,1.4081,-1.7327,3.3404,2.9042,4.4264
11,91,1.6111,1.4521,-1.7217,3.0901,2.0029,3.6825
11,92,1.6288,1.4851,-1.6997,2.8355,1.7602,3.3375
11,93,1.6442,1.5292,-1.6777,3.1371,1.8024,3.6180
11,94,1.6616,1.5512,-1.6557,2.8629,1.5281,3.2452
11,95,1.6773,1.6392,-1.6337,3.8624,1.7780,4.2520
11,96,1.6945,1.7272,-1.6337,4.9544,1.3639,5.1387
