Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
2,0,4.3836,-0.8690,-1.8045,0.0000,0.0000,0.0000
2,1,4.4193,-0.8391,-1.7895,0.0000,0.0000,0.0000
2,2,4.4488,-0.7717,-1.7371,1.1428,0.8888,1.4477
2,3,4.4769,-0.6819,-1.5799,1.8300,2.4619,3.0675
2,4,4.5056,-0.4573,-1.0335,4.4308,8.7903,9.8438
2,5,4.5348,-0.3376,-0.6218,5.7982,13.4907,14.6839
2,6,4.5632,-0.2178,-0.3150,6.4454,16.5090,17.7226
2,7,4.5916,-0.0831,-0.0006,6.9580,18.3282,19.6046
2,8,4.6204,0.0142,0.2689,5.4825,15.1156,16.0791
2,9,4.6493,0.1340,0.6506,5.4974,14.8213,15.8079
2,10,4.6784,0.1939,0.8827,4.7726,13.8621,14.6607
2,11,4.7085,0.3211,1.2345,4.6039,14.0778,14.8115
2,12,4.7387,0.4708,1.5563,5.1277,14.5071,15.3867
2,13,4.7682,0.6205,1.7360,5.4370,12.1310,13.2937
2,14,4.7993,0.7702,1.8258,6.3576,10.4423,12.2254
2,15,4.8301,0.9574,1.8782,6.9720,7.1055,9.9548
2,16,4.8629,1.1744,1.8707,7.5311,3.4842,8.2980
2,17,4.8957,1.2717,1.7659,6.8292,0.3884,6.8402
2,18,4.9272,1.3092,1.5863,5.6196,-2.4717,6.1391
2,19,4.9583,1.3017,1.2345,3.5125,-6.8178,7.6694
2,20,4.9889,1.1819,0.6506,0.0039,-13.0827,13.0827
2,21,5.0202,1.1445,0.2764,-1.3850,-16.0076,16.0674
2,22,5.0525,1.3017,-0.0829,-0.1601,-17.8134,17.8141
2,23,5.0840,1.5262,-0.4123,2.3010,-17.5265,17.6769
2,24,5.1158,1.8406,-0.6368,6.9006,-13.5418,15.1986
2,25,5.1473,2.1325,-0.7940,10.3866,-11.2133,15.2846
2,26,5.1793,2.6266,-0.9437,13.9043,-9.0672,16.5995
2,27,5.2129,3.0382,-1.0260,15.6167,-6.3941,16.8750
2,28,5.2450,3.2628,-1.0410,14.6471,-4.1930,15.2355
2,29,5.2772,3.4200,-0.9662,13.1857,-1.7567,13.3022
2,30,5.3104,3.6221,-0.8015,10.0787,1.4547,10.1831
2,31,5.3450,3.8466,-0.4946,8.1505,5.2322,9.6854
2,32,5.3806,3.9814,0.0818,7.0828,10.7846,12.9024
2,33,5.4162,3.9514,0.4485,5.1769,13.4442,14.4065
2,34,5.4538,3.7643,0.8003,1.4906,14.9024,14.9768
2,35,5.4876,3.5397,0.9950,-2.8946,13.8678,14.1666
2,36,5.5210,3.1879,1.1746,-7.6671,10.2635,12.8111
2,37,5.5549,2.4095,1.2644,-15.0432,7.7132,16.9053
2,38,5.5885,2.0203,1.2569,-17.2446,4.5262,17.8287
2,39,5.6248,1.6685,1.1072,-18.2555,1.2271,18.2967
2,40,5.6623,0.8376,0.6431,-22.1349,-4.6936,22.6271
2,41,5.6964,0.2762,0.2988,-19.9562,-8.9367,21.8658
2,42,5.7312,-0.0980,0.0369,-19.6897,-11.3759,22.7397
2,43,5.7657,-0.4049,-0.1727,-19.4237,-12.0260,22.8453
2,44,5.8022,-0.7118,-0.3823,-14.8307,-9.8084,17.7808
2,45,5.8373,-1.1235,-0.6069,-13.2643,-8.5822,15.7986
2,46,5.8724,-1.4229,-0.7566,-12.5207,-7.4923,14.5912
2,47,5.9117,-1.5801,-0.8614,-10.8869,-6.3548,12.6059
2,48,5.9521,-1.6175,-1.0036,-8.3986,-5.6187,10.1048
2,49,5.9919,-1.4154,-1.2132,-2.7952,-5.2402,5.9391
2,50,6.0313,-0.9139,-1.3329,4.2992,-4.8310,6.4670
2,51,6.0710,-0.2253,-1.3404,11.4062,-4.0062,12.0893
2,52,6.1105,0.2612,-1.2805,15.8267,-2.3259,15.9967
2,53,6.1490,0.6729,-1.1458,17.6939,0.5938,17.7039
2,54,6.1914,0.9574,-1.0260,15.6826,2.5497,15.8885
2,55,6.2328,1.7134,-0.8539,15.9991,3.9998,16.4915
2,56,6.2758,2.1250,-0.8539,15.0780,3.4937,15.4775
2,57,6.3171,2.3571,-0.9662,13.3908,1.4230,13.4662
2,58,6.3557,2.4469,-1.0260,11.9313,-0.0363,11.9314
2,59,6.3945,2.4769,-1.0784,6.0964,-1.8738,6.3779
2,60,6.4370,2.3496,-1.1383,1.9095,-2.3427,3.0223
2,61,6.4810,1.8182,-1.3629,-3.9876,-3.1375,5.0739
2,62,6.5303,0.7104,-1.6623,-12.2646,-4.6469,13.1154
2,63,6.5698,0.1639,-1.6772,-17.1275,-4.3229,17.6646
2,64,6.6078,-0.2627,-1.6249,-19.8738,-3.3944,20.1616
2,65,6.6462,-0.5397,-1.6024,-18.2557,-1.4985,18.3171
2,66,6.6857,-0.8391,-1.6024,-13.2792,0.5286,13.2897
2,67,6.7242,-1.1984,-1.6024,-11.7868,0.6548,11.8049
2,68,6.7638,-1.4529,-1.6997,-10.1846,-0.6233,10.2036
2,69,6.8043,-1.5127,-1.8494,-8.2706,-2.0506,8.5210
2,70,6.8437,-1.3705,-1.9617,-4.5436,-3.0005,5.4449
2,71,6.8831,-0.7492,-2.0440,3.8222,-3.6966,5.3174
2,72,6.9231,0.4559,-1.9767,16.0051,-2.3168,16.1719
2,73,6.9636,1.1445,-1.7596,22.1665,0.7022,22.1776
2,74,7.0043,1.8256,-1.2431,26.5414,5.8816,27.1853
2,75,7.0550,1.8256,-1.2431,21.2889,6.5777,22.2819
